Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_41_477,VDD,Metal1,236.4090,170.6980,1.199733
FILLER_41_470,VDD,Metal1,233.0490,170.6980,1.199719
FILLER_41_449,VDD,Metal1,221.7600,170.1000,1.199658
FILLER_41_445,VDD,Metal1,220.3310,170.6960,1.199656
FILLER_41_419,VDD,Metal1,207.1200,170.1000,1.199673
FILLER_41_375,VDD,Metal1,186.0000,170.1000,1.199693
FILLER_41_373,VDD,Metal1,185.2800,170.1000,1.199693
FILLER_41_345,VDD,Metal1,171.6000,170.1000,1.199961
FILLER_41_325,VDD,Metal1,162.0000,170.1000,1.199959
FILLER_41_287,VDD,Metal1,144.0000,170.1000,1.199946
FILLER_41_280,VDD,Metal1,141.8490,170.6980,1.199950
FILLER_41_273,VDD,Metal1,138.4890,170.6980,1.199953
FILLER_41_266,VDD,Metal1,135.1290,170.6980,1.199956
FILLER_41_259,VDD,Metal1,131.7690,170.6980,1.199959
FILLER_41_252,VDD,Metal1,128.4090,170.6980,1.199963
FILLER_41_245,VDD,Metal1,125.0490,170.6980,1.199966
FILLER_41_238,VDD,Metal1,121.6890,170.6980,1.199969
FILLER_41_231,VDD,Metal1,118.3290,170.6980,1.199972
FILLER_41_224,VDD,Metal1,114.9690,170.6980,1.199976
FILLER_41_217,VDD,Metal1,111.6090,170.6980,1.199979
FILLER_41_210,VDD,Metal1,108.2490,170.6980,1.199982
FILLER_41_203,VDD,Metal1,104.8890,170.6980,1.199985
FILLER_41_196,VDD,Metal1,101.5290,170.6980,1.199989
FILLER_41_189,VDD,Metal1,98.1690,170.6980,1.199992
FILLER_41_182,VDD,Metal1,94.8090,170.6980,1.199995
FILLER_41_175,VDD,Metal1,91.4490,170.6980,1.199995
FILLER_41_168,VDD,Metal1,88.0890,170.6980,1.199996
FILLER_41_161,VDD,Metal1,84.7290,170.6980,1.199996
FILLER_41_154,VDD,Metal1,81.3690,170.6980,1.199996
FILLER_41_147,VDD,Metal1,78.0090,170.6980,1.199996
FILLER_41_140,VDD,Metal1,74.6490,170.6980,1.199996
FILLER_41_133,VDD,Metal1,71.2890,170.6980,1.199997
FILLER_41_126,VDD,Metal1,67.9290,170.6980,1.199997
FILLER_41_119,VDD,Metal1,64.5690,170.6980,1.199997
FILLER_41_112,VDD,Metal1,61.2090,170.6980,1.199997
FILLER_41_105,VDD,Metal1,57.8490,170.6980,1.199997
FILLER_41_98,VDD,Metal1,54.4890,170.6980,1.199997
FILLER_41_91,VDD,Metal1,51.1290,170.6980,1.199998
FILLER_41_84,VDD,Metal1,47.7690,170.6980,1.199998
FILLER_41_77,VDD,Metal1,44.4090,170.6980,1.199998
FILLER_41_70,VDD,Metal1,41.0490,170.6980,1.199998
FILLER_41_63,VDD,Metal1,37.6890,170.6980,1.199998
FILLER_41_56,VDD,Metal1,34.3290,170.6980,1.199999
FILLER_41_49,VDD,Metal1,30.9690,170.6980,1.199999
FILLER_41_42,VDD,Metal1,27.6090,170.6980,1.199999
FILLER_41_35,VDD,Metal1,24.2490,170.6980,1.199999
FILLER_41_28,VDD,Metal1,20.8890,170.6980,1.199999
FILLER_41_21,VDD,Metal1,17.5290,170.6980,1.200000
FILLER_41_14,VDD,Metal1,14.1690,170.6980,1.200000
FILLER_41_7,VDD,Metal1,10.8090,170.6980,1.200000
FILLER_41_0,VDD,Metal1,7.4490,170.6980,1.200000
FILLER_40_1096,VDD,Metal1,532.0800,170.1000,1.199981
FILLER_40_1089,VDD,Metal1,530.1690,169.5010,1.199981
FILLER_40_1082,VDD,Metal1,526.8090,169.5010,1.199981
FILLER_40_1075,VDD,Metal1,523.4490,169.5010,1.199981
FILLER_40_1068,VDD,Metal1,520.0890,169.5010,1.199981
FILLER_40_1061,VDD,Metal1,516.7290,169.5010,1.199982
FILLER_40_1054,VDD,Metal1,513.3690,169.5010,1.199982
FILLER_40_1047,VDD,Metal1,510.0090,169.5010,1.199982
FILLER_40_1040,VDD,Metal1,506.6490,169.5010,1.199982
FILLER_40_1033,VDD,Metal1,503.2890,169.5010,1.199982
FILLER_40_1026,VDD,Metal1,499.9290,169.5010,1.199982
FILLER_40_1019,VDD,Metal1,496.5690,169.5010,1.199983
FILLER_40_1012,VDD,Metal1,493.2090,169.5010,1.199983
FILLER_40_1005,VDD,Metal1,489.8490,169.5010,1.199983
FILLER_40_998,VDD,Metal1,486.4890,169.5010,1.199983
FILLER_40_991,VDD,Metal1,483.1290,169.5010,1.199983
FILLER_40_984,VDD,Metal1,479.7690,169.5010,1.199984
FILLER_40_977,VDD,Metal1,476.4090,169.5010,1.199984
FILLER_40_970,VDD,Metal1,473.0490,169.5010,1.199984
FILLER_40_963,VDD,Metal1,469.6890,169.5010,1.199974
FILLER_40_956,VDD,Metal1,466.3290,169.5010,1.199963
FILLER_40_949,VDD,Metal1,462.9690,169.5010,1.199953
FILLER_40_942,VDD,Metal1,459.6090,169.5010,1.199942
FILLER_40_935,VDD,Metal1,456.2490,169.5010,1.199932
FILLER_40_928,VDD,Metal1,452.8890,169.5010,1.199922
FILLER_40_921,VDD,Metal1,449.5290,169.5010,1.199911
FILLER_40_914,VDD,Metal1,446.1690,169.5010,1.199901
FILLER_40_898,VDD,Metal1,438.4890,169.5010,1.199863
FILLER_40_891,VDD,Metal1,435.1290,169.5010,1.199863
FILLER_40_884,VDD,Metal1,431.7690,169.5010,1.199863
FILLER_40_877,VDD,Metal1,427.6910,169.5030,1.199863
FILLER_40_870,VDD,Metal1,425.0490,169.5010,1.199842
FILLER_40_863,VDD,Metal1,421.6890,169.5010,1.199839
FILLER_40_856,VDD,Metal1,418.3290,169.5010,1.199839
FILLER_40_849,VDD,Metal1,414.9690,169.5010,1.199839
FILLER_40_841,VDD,Metal1,409.6800,170.1000,1.199852
FILLER_40_837,VDD,Metal1,408.4910,169.5030,1.199909
FILLER_40_830,VDD,Metal1,405.8490,169.5010,1.199909
FILLER_40_823,VDD,Metal1,402.4890,169.5010,1.199977
FILLER_40_816,VDD,Metal1,399.1290,169.5010,1.199985
FILLER_40_809,VDD,Metal1,395.7690,169.5010,1.199994
FILLER_40_802,VDD,Metal1,392.4090,169.5010,1.199993
FILLER_40_795,VDD,Metal1,389.0490,169.5010,1.199991
FILLER_40_788,VDD,Metal1,385.6890,169.5010,1.199984
FILLER_40_781,VDD,Metal1,382.3290,169.5010,1.199984
FILLER_40_774,VDD,Metal1,378.9690,169.5010,1.199984
FILLER_40_767,VDD,Metal1,375.6090,169.5010,1.199983
FILLER_40_760,VDD,Metal1,372.2490,169.5010,1.199983
FILLER_40_753,VDD,Metal1,368.8890,169.5010,1.199982
FILLER_40_746,VDD,Metal1,365.5290,169.5010,1.199982
FILLER_40_739,VDD,Metal1,362.1690,169.5010,1.199982
FILLER_40_732,VDD,Metal1,358.8090,169.5010,1.199981
FILLER_40_725,VDD,Metal1,355.4490,169.5010,1.199980
FILLER_40_718,VDD,Metal1,352.0890,169.5010,1.199978
FILLER_40_711,VDD,Metal1,348.7290,169.5010,1.199977
FILLER_40_704,VDD,Metal1,345.3690,169.5010,1.199975
FILLER_40_697,VDD,Metal1,342.0090,169.5010,1.199974
FILLER_40_690,VDD,Metal1,338.6490,169.5010,1.199972
FILLER_40_683,VDD,Metal1,335.2890,169.5010,1.199972
FILLER_40_676,VDD,Metal1,331.9290,169.5010,1.199973
FILLER_40_669,VDD,Metal1,328.5690,169.5010,1.199976
FILLER_40_662,VDD,Metal1,325.2090,169.5010,1.199977
FILLER_40_655,VDD,Metal1,321.8490,169.5010,1.199979
FILLER_40_648,VDD,Metal1,318.4890,169.5010,1.199966
FILLER_40_641,VDD,Metal1,315.1290,169.5010,1.199953
FILLER_40_634,VDD,Metal1,311.7690,169.5010,1.199942
FILLER_40_627,VDD,Metal1,308.4090,169.5010,1.199895
FILLER_40_620,VDD,Metal1,305.0490,169.5010,1.199892
FILLER_40_610,VDD,Metal1,300.2490,169.5010,1.199893
FILLER_40_603,VDD,Metal1,296.8890,169.5010,1.199934
FILLER_40_596,VDD,Metal1,293.5290,169.5010,1.199940
FILLER_40_589,VDD,Metal1,290.1690,169.5010,1.199942
FILLER_40_582,VDD,Metal1,286.8090,169.5010,1.199944
FILLER_40_575,VDD,Metal1,283.4490,169.5010,1.199946
FILLER_40_568,VDD,Metal1,280.0890,169.5010,1.199948
FILLER_40_561,VDD,Metal1,276.7290,169.5010,1.199950
FILLER_40_554,VDD,Metal1,273.3690,169.5010,1.199952
FILLER_40_547,VDD,Metal1,270.0090,169.5010,1.199953
FILLER_40_540,VDD,Metal1,266.6490,169.5010,1.199955
FILLER_40_533,VDD,Metal1,263.2890,169.5010,1.199957
FILLER_40_526,VDD,Metal1,259.9290,169.5010,1.199958
FILLER_40_488,VDD,Metal1,240.2400,170.1000,1.199946
FILLER_40_484,VDD,Metal1,239.0510,169.5030,1.199946
FILLER_40_477,VDD,Metal1,236.4090,169.5010,1.199733
